Rank,Symbol,Name,Country,SmartScore,SmartProb,FundaScore,FundaProb,TechScore,TechProb,SentiScore,SentiProb,RiskScore,RiskProb,Sector,Industry,Accurate,pe,market_cap,perf_week,perf_month,perf_quarter,perf_halfyear,perf_year,perf_ytd,roe,dividend_yield,roi,high_52w,low_52w,avg_volume,beta
<b>1</b>,<b><a href='https://tossinvest.com/stocks/TFC/analytics'>TFC</a></b>,Truist Financial Corporation,US,10,52.7%,10,49.5%,9,46.0%,9,43.8%,5,1.7%,Financials,Banks,False,14.01,61.93B,<span style='color: green;'>0.58%</span>,<span style='color: red;'>-2.59%</span>,<span style='color: green;'>0.21%</span>,<span style='color: green;'>9.86%</span>,<span style='color: green;'>34.11%</span>,<span style='color: green;'>7.54%</span>,-0.11%,4.52%,4.53%,-4.90%,36.16%,7.41M,1.06
<b>2</b>,<b><a href='https://tossinvest.com/stocks/C/analytics'>C</a></b>,Citigroup Inc,US,10,52.3%,10,51.0%,9,44.3%,9,45.1%,6,1.1%,Financials,Banks,False,13.67,152.68B,<span style='color: green;'>0.09%</span>,<span style='color: red;'>-0.40%</span>,<span style='color: green;'>18.30%</span>,<span style='color: green;'>31.13%</span>,<span style='color: green;'>48.30%</span>,<span style='color: green;'>15.56%</span>,6.06%,2.84%,2.32%,-4.01%,52.01%,14.16M,1.42
<b>3</b>,<b><a href='https://tossinvest.com/stocks/USB/analytics'>USB</a></b>,U.S. Bancorp,US,10,51.4%,10,50.1%,8,42.3%,7,41.9%,5,1.5%,Financials,Banks,False,12.35,72.95B,<span style='color: red;'>-1.54%</span>,<span style='color: red;'>-5.19%</span>,<span style='color: red;'>-6.29%</span>,<span style='color: green;'>8.27%</span>,<span style='color: green;'>16.62%</span>,<span style='color: red;'>-2.24%</span>,11.01%,4.34%,5.14%,-13.38%,23.67%,8.07M,1.04
<b>4</b>,<b><a href='https://tossinvest.com/stocks/PNC/analytics'>PNC</a></b>,PNC Financial Services Group Inc,US,10,51.3%,9,47.9%,9,46.2%,9,47.3%,6,1.1%,Financials,Banks,False,13.96,75.99B,<span style='color: red;'>-1.89%</span>,<span style='color: red;'>-3.36%</span>,<span style='color: red;'>-7.60%</span>,<span style='color: green;'>10.89%</span>,<span style='color: green;'>32.58%</span>,<span style='color: red;'>-0.50%</span>,11.10%,3.42%,4.73%,-11.27%,37.37%,2.01M,1.12
<b>5</b>,<b><a href='https://tossinvest.com/stocks/WFC/analytics'>WFC</a></b>,Wells Fargo & Co,US,10,51.2%,10,50.1%,9,44.7%,9,44.1%,6,1.2%,Financials,Banks,False,14.63,258.61B,<span style='color: red;'>-0.78%</span>,<span style='color: green;'>1.00%</span>,<span style='color: green;'>5.77%</span>,<span style='color: green;'>40.09%</span>,<span style='color: green;'>54.37%</span>,<span style='color: green;'>11.94%</span>,10.81%,2.17%,5.28%,-3.52%,56.79%,15.60M,1.16
<b>6</b>,<b><a href='https://tossinvest.com/stocks/STT/analytics'>STT</a></b>,State Street Corp,US,10,50.8%,10,49.3%,9,45.6%,9,45.8%,5,1.4%,Financials,Capital Markets,buy,12.11,28.74B,<span style='color: green;'>1.45%</span>,<span style='color: green;'>0.65%</span>,<span style='color: green;'>4.36%</span>,<span style='color: green;'>24.08%</span>,<span style='color: green;'>41.21%</span>,<span style='color: green;'>1.52%</span>,10.93%,3.13%,5.18%,-3.26%,41.94%,2.07M,1.47
<b>7</b>,<b><a href='https://tossinvest.com/stocks/ZION/analytics'>ZION</a></b>,Zions Bancorporation N.A,US,10,50.8%,9,48.1%,9,46.7%,9,47.8%,4,2.5%,Financials,Banks,False,11.13,8.14B,<span style='color: red;'>-0.63%</span>,<span style='color: red;'>-6.62%</span>,<span style='color: red;'>-7.38%</span>,<span style='color: green;'>17.28%</span>,<span style='color: green;'>35.63%</span>,<span style='color: green;'>1.60%</span>,13.19%,3.14%,10.35%,-12.81%,45.01%,1.22M,1.08
<b>8</b>,<b><a href='https://tossinvest.com/stocks/NTRS/analytics'>NTRS</a></b>,Northern Trust Corp,US,10,50.7%,9,46.7%,9,44.6%,8,42.9%,6,1.3%,Financials,Capital Markets,False,11.61,22.50B,<span style='color: green;'>3.12%</span>,<span style='color: green;'>5.36%</span>,<span style='color: green;'>6.24%</span>,<span style='color: green;'>32.26%</span>,<span style='color: green;'>46.87%</span>,<span style='color: green;'>10.76%</span>,16.32%,2.70%,7.54%,-0.99%,44.17%,1.22M,1.09
<b>9</b>,<b><a href='https://tossinvest.com/stocks/RY/analytics'>RY</a></b>,Royal Bank Of Canada,CA,10,50.3%,10,50.2%,9,45.0%,7,42.1%,7,0.7%,Financials,Banks,False,14.48,169.32B,<span style='color: green;'>1.09%</span>,<span style='color: red;'>-2.11%</span>,<span style='color: red;'>-1.49%</span>,<span style='color: green;'>7.32%</span>,<span style='color: green;'>26.17%</span>,<span style='color: red;'>-0.71%</span>,13.55%,3.55%,7.93%,-6.55%,24.86%,1.03M,0.87
<b>10</b>,<b><a href='https://tossinvest.com/stocks/FITB/analytics'>FITB</a></b>,Fifth Third Bancorp,US,10,50.3%,9,47.2%,9,44.9%,9,46.8%,5,1.5%,Financials,Banks,buy,13.91,29.24B,<span style='color: green;'>0.41%</span>,<span style='color: red;'>-2.79%</span>,<span style='color: red;'>-7.19%</span>,<span style='color: green;'>7.10%</span>,<span style='color: green;'>32.13%</span>,<span style='color: green;'>3.15%</span>,11.92%,3.47%,6.34%,-11.13%,32.01%,4.42M,1.23
